;Unnamed: 0;Unnamed: 1;Strike;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19
0;Periods;Date;2000.0;2100.0;2300.0;2700.0;3200.0;3500.0;3700.0;4000.0;4300.0;4500.0;4900.0;5300.0;5900.0;6300.0;6800.0;7300.0
1;1M;05/09/2021;;;;;;0.255031306;0.229717062;0.184536799;0.142742177;0.120221535;;;;;;
2;2M;05/10/2021;;;;;0.290835216;0.258944417;0.230096898;0.186556615;0.147864365;0.126234621;0.102493149;;;;;
3;3M;05/11/2021;;;;0.33268217;0.29694945;0.257722138;0.229461568;0.18910417;0.153375004;0.132962622;0.107623208;0.100412716;;;;
4;6M;05/02/2022;0.386116814;0.382065081;0.374262909;0.348531956;0.28876262;0.250947055;0.227013993;0.19394226;0.164735079;0.147584316;0.122567485;0.111080905;;;;
5;9M;05/05/2022;0.401595863;0.392335171;0.374385499;0.334426838;0.276243706;0.243835788;0.223866174;0.196559751;0.172478139;0.158204835;0.135913964;0.123112596;0.115342745;0.113999818;;
6;1Y;05/08/2022;0.391583207;0.380608626;0.359234787;0.316751918;0.264999747;0.23738827;0.220565856;0.197655865;0.177429127;0.165377214;0.145613437;0.132511556;0.122811665;0.120408812;0.120236295;
7;18M;05/02/2023;0.358595558;0.348235477;0.328056465;0.290277869;0.249445111;0.228395049;0.215666584;0.198352937;0.18299452;0.17377616;0.158043111;0.14627564;0.135526082;0.13174401;0.129569119;0.129495724
8;2Y;05/08/2023;0.331901615;0.322891224;0.305396028;0.273295565;0.239771204;0.222603238;0.212220811;0.198073098;0.185480728;0.177900098;0.164762551;0.154458474;0.144024601;0.139776513;0.136663989;0.135426357
9;3Y;05/08/2024;0.303934987;0.296652799;0.282586383;0.257026348;0.23047758;0.216834384;0.208557459;0.197234253;0.187109392;0.180969149;0.170162482;0.161308245;0.151478273;0.146921816;0.143003455;0.14068825
10;4Y;05/08/2025;0.291455525;0.284996763;0.27255521;0.249999922;0.226499042;0.21437567;0.206987623;0.196853888;0.187754535;0.182211475;0.172342643;0.164059767;0.154407991;0.149655762;0.145316548;0.142399505
11;5Y;05/08/2026;0.289280661;0.283020113;0.270978043;0.249211686;0.226501947;0.21476792;0.207601647;0.197763208;0.188911042;0.18351007;0.173848686;0.165667689;0.15597762;0.151110523;0.146582681;0.1434279